user_name,following,follower,n_likes
['10mmahedi'],1,630.2K,10.3M
['robinrafan'],2673,4.6M,86.2M
['_powshi_'],13,48.4K,677.7K
['bdmall.com.bd'],11,24.3K,318.9K
['mariya.sultana763'],91,950,3523
['jhaltech'],2,184.4K,3.1M
['titu00075'],2,4412,23.7K
['lifeismeow'],618,27.3K,611.4K
['sh.arpita'],6,5938,145.7K
['mehazabienchowdhury'],29,2.6M,17.1M
['zainulabdin12346'],812,3236,97.6K
['kayasxbang6'],212,3175,11.4K
['miftahul.jannat___'],11,6533,78.5K
['angel__sadia__07'],75,2725,80.1K
['rrshahed'],18,36,381
['tanzina.niloy'],8,1366,15.9K
['soniaislam4'],30,26K,284.3K
['rajoanahmedfahim'],678,1356,9160
['nowshin_rh_anika'],70,117.2K,2.6M
['mix_couple_'],15,166.8K,3.8M
['ismail.siam'],4,285.2K,6.3M
['sabila.nur'],204,551.8K,3.1M
['asthetichidayah'],0,1398,6837
['az_tanvir'],655,3487,72.5K
['forhad_002'],3,2716,36.6K
['nadia.brishty'],111,208.8K,1.8M
['sunsinenila'],27,434.1K,7M
['marufbhuiyan10k'],21,61.2K,2M
['hdgirhfhhdh'],1054,2188,9311
['arabiii_jannat'],60,37.3K,937.9K
['the_gallery_09'],218,77.8K,2.3M
['taju552'],8,73.7K,989.2K
['sadiaa5000'],475,7471,89.3K
['nuzairah_anzish'],1143,4643,55.3K
['abw_faisal'],239,2424,6675
['sa_salim_99'],25,58.1K,592.3K
['srofficialbd'],7,3572,8992
['nusratmim3073'],1255,13.7K,222.3K
['jahidhassan_8'],14,240.4K,9.7M
['maruf_hussain2'],44,98.8K,1.8M
['sadiya7x28'],12,3973,10.5K
['hrrahul363'],5,226.3K,2.5M
['rakibar295'],52,2438,141.1K
['aitekbd_onlineshop'],0,97.8K,1.4M
['mdrubelkhan69443'],786,93.2K,754.7K
['mdrobiul7136'],233,311.7K,5.5M
['arif.sunny'],22,5795,110.6K
['darkchilld1'],31,2529,17.6K
['jahidahmed1910'],1265,6800,114.6K
['americanroadtrips'],417,71.2K,2.2M
['warmaniac0'],6,16K,274.9K
['japankatiger'],18,674.8K,10.8M
['chenxily'],9,23.6K,314.6K
['keepsiekits'],144,7696,169.3K
['ogaobinnatiktok'],56,438.5K,7.3M
['cotopaxiofficial'],84,43.2K,500.9K
['pinktravelogue'],211,88.6K,3.3M
['thetalesofatraveler'],0,39.3K,401.4K
['carolinemcquistin'],801,119.5K,4.6M
['rentmount'],48,169.3K,405.1K
['sambentley'],86,1.1M,29.5M
['dazing.soul'],236,24.4K,2M
['parlasostenibilee'],84,44.3K,1.5M
